CLNDN	Occurrence
Curry-Hall_syndrome	986
Melnick-Needles_syndrome	972
Familial_hypocalciuric_hypercalcemia	971
Niemann-Pick_disease	970
Walker-Warburg_congenital_muscular_dystrophy	968
Early_myoclonic_encephalopathy	967
Familial_hypercholesterolemia_2	966
Cutis_laxa	962
Hereditary_Paraganglioma-Pheochromocytoma_Syndromes	956
Encephalopathy	953
Charlevoix-Saguenay_spastic_ataxia	951
Progressive_sclerosing_poliodystrophy	951
EGFR-related_lung_cancer	949
Congenital_disorder_of_glycosylation	944
Phenylketonuria	938
Multiple_fibrofolliculomas	936
Mitochondrial_complex_I_deficiency	930
Chédiak-Higashi_syndrome	929
Peroxisome_biogenesis_disorder	914
Fetal_akinesia_sequence	911
Autosomal_dominant_nocturnal_frontal_lobe_epilepsy	899
Melanoma	899
Carcinoma_of_colon	876
Very_long_chain_acyl-CoA_dehydrogenase_deficiency	870
Rett_syndrome	869
Spastic_paraplegia_30	863
Hypokalemic_periodic_paralysis_1	862
Early_infantile_epileptic_encephalopathy_12	850
Polycystic_kidney_disease	843
CFTR-related_disorders	843
Niemann-Pick_disease_type_C1	838
Combined_immunodeficiency_due_to_DOCK8_deficiency	834
Congenital_myotonia	834
Lymphedema	829
Early_infantile_epileptic_encephalopathy_14	825
Atrial_fibrillation	822
Prostate_cancer	812
Immunodeficiency_26_with_or_without_neurologic_abnormalities	810
Malignant_tumor_of_prostate	808
Fumarase_deficiency	808
Beckwith-Wiedemann_syndrome	806
Pitt-Hopkins-like_syndrome_1	800
Familial_hypertrophic_cardiomyopathy_14	797
Pseudohypoaldosteronism_type_2C	795
Propionic_acidemia	792
Jeune_thoracic_dystrophy	790
Familial_hyperkalemic_periodic_paralysis	790
Osteogenesis_imperfecta	790
Frontometaphyseal_dysplasia	788
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2B	779
Common_variable_immunodeficiency_8	778
Severe_myoclonic_epilepsy_in_infancy	776
Congenital_muscular_dystrophy-dystroglycanopathy_with_brain_and_eye_anomalies	762
Maturity-onset_diabetes_of_the_young	759
Wilms_tumor	759
Acute_myeloid_leukemia	755
Dilated_cardiomyopathy_1DD	748
Polycystic_kidney_dysplasia	746
Collagen_VI-related_myopathy	745
Pitt-Hopkins-like_syndrome_2	745
Alpha_thalassemia-X-linked_intellectual_disability_syndrome	739
Kleefstra_syndrome_1	739
Progressive_myoclonic_epilepsy	738
Medulloblastoma	736
Zellweger_spectrum_disorders	735
Spermatogenic_failure_18	727
Early_infantile_epileptic_encephalopathy_11	710
Hereditary_sensory_and_autonomic_neuropathy_type_IIC	708
Familial_platelet_disorder_with_associated_myeloid_malignancy	704
Ehlers-Danlos_syndrome_dermatosparaxis_type	699
Rare_genetic_deafness	682
Developmental_and_epileptic_encephalopathy_94	681
Saldino-Mainzer_syndrome	680
Congenital_myasthenic_syndrome	679
Arrhythmogenic_right_ventricular_dysplasia_9	674
Primary_pulmonary_hypertension_1	667
Primary_hyperoxaluria	666
Drash_syndrome	659
Breast_neoplasm	658
Generalized_juvenile_polyposis/juvenile_polyposis_coli	656
Usher_syndrome_type_1F	656
Candidiasis	654
Familial_focal_epilepsy_with_variable_foci	649
Leber_congenital_amaurosis_8	648
Junctional_epidermolysis_bullosa	648
Lynch_syndrome_I	647
Congenital_hyperammonemia	646
Frasier_syndrome	645
Kabuki_syndrome_1	645
Neoplasm_of_ovary	642
Retinitis_pigmentosa_39	642
Metachromatic_leukodystrophy	641
Noonan_syndrome	633
Arrhythmogenic_right_ventricular_dysplasia	631
Sotos_syndrome_1	627
Global_developmental_delay	622
Retinitis_Pigmentosa	619
Focal_segmental_glomerulosclerosis_5	617
Mucolipidosis_type_II	613
Meckel_syndrome	611
Adrenoleukodystrophy	608
Limb-Girdle_Muscular_Dystrophy	608
Galactosylceramide_beta-galactosidase_deficiency	607
Brugada_syndrome_8	607
Central_core_myopathy	601
Achondrogenesis	601
Paragangliomas_4	601
Glucose-6-phosphate_transport_defect	593
Hereditary_insensitivity_to_pain_with_anhidrosis	588
Cornelia_de_Lange_syndrome_1	584
Parathyroid_carcinoma	579
Deficiency_of_alpha-mannosidase	578
Parkinson_disease_20	578
Familial_dysautonomia	576
Episodic_pain_syndrome	575
Fraser_syndrome_1	575
Vici_syndrome	573
Menkes_kinky-hair_syndrome	573
Retinitis_pigmentosa_12	570
Chronic_granulomatous_disease	569
Familial_Mediterranean_fever	568
Hereditary_nonpolyposis_colorectal_cancer_type_7	565
Rigidity_and_multifocal_seizure_syndrome	564
Dendritic_cell	564
Monogenic_diabetes	561
Dilated_cardiomyopathy_1KK	560
Noonan_syndrome_and_Noonan-related_syndrome	558
Pancreatic_adenocarcinoma	557
Weill-Marchesani_syndrome	557
Retinitis_pigmentosa_25	555
Usher_syndrome_type_1B	554
Tay-Sachs_disease	553
Familial_hypertrophic_cardiomyopathy_1	552
Carnitine_palmitoyltransferase_II_deficiency	547
Surfactant_metabolism_dysfunction	540
Amyotrophic_lateral_sclerosis_type_1	539
Mucopolysaccharidosis_type_1	538
Mowat-Wilson_syndrome	538
Mononeuropathy_of_the_median_nerve	537
Dilated_cardiomyopathy_1AA	537
Classic_homocystinuria	535
Luscan-lumish_syndrome	535
Renal_carnitine_transport_defect	535
Hereditary_sensory_neuropathy_type_IE	532
Pseudo-Hurler_polydystrophy	531
Microcephalic_osteodysplastic_primordial_dwarfism_type_II	530
Telangiectasia	528
Junctional_epidermolysis_bullosa_gravis_of_Herlitz	528
Arthrogryposis	528
Early_infantile_epileptic_encephalopathy_9	526
Hyperinsulinemic_hypoglycemia	521
Kabuki_syndrome	521
Alzheimer_disease	520
Emery-Dreifuss_muscular_dystrophy	519
Epidermolysis_bullosa_dystrophica	514
Amyotrophic_lateral_sclerosis_type_4	514
Connective_tissue_disorder	512
Autosomal_dominant_cerebellar_ataxia	512
Disorders_of_Intracellular_Cobalamin_Metabolism	512
Fabry_disease	511
Spastic_paraplegia_49	510
Usher_syndrome_type_1D	509
Familial_hemophagocytic_lymphohistiocytosis_3	503
Schwartz-Jampel_syndrome	502
Multiple_acyl-CoA_dehydrogenase_deficiency	501
Lethal_Kniest-like_syndrome	499
Mucopolysaccharidosis_type_6	498
Hereditary_spastic_paraplegia_39	493
Left_ventricular_noncompaction_8	492
Naxos_disease	492
Primary_autosomal_recessive_microcephaly_5	492
Koolen-de_Vries_syndrome	490
Neurodevelopmental_disorder	489
Hyperphosphatasia_with_mental_retardation_syndrome_2	488
Polyglandular_autoimmune_syndrome	488
Cerebellar_ataxia	488
Hereditary_nonpolyposis_colorectal_cancer_type_5	488
Amelogenesis_imperfecta	487
Dystonia	487
Hereditary_factor_VIII_deficiency_disease	487
Early_infantile_epileptic_encephalopathy_2	486
Pyruvate_carboxylase_deficiency	485
Minicore_myopathy_with_external_ophthalmoplegia	485
Dilated_cardiomyopathy_1JJ	485
Leber_congenital_amaurosis_1	483
Spastic_paraplegia_48	483
Lethal_multiple_pterygium_syndrome	480
Anemia	477
Blau_syndrome	475
Spastic_paraplegia_4	475
Hearing_impairment	474
Metaphyseal_chondrodysplasia	472
Glanzmann_thrombasthenia	467
Familial_cold_autoinflammatory_syndrome_3	465
Familial_cold_autoinflammatory_syndrome_2	464
Epidermodysplasia_verruciformis	463
Dilated_cardiomyopathy_1W	463
Pitt-Hopkins_syndrome	462
GLUT1_deficiency_syndrome_1	460
Imerslund-Gräsbeck_syndrome	459
Perry_syndrome	459
Dilated_cardiomyopathy_1O	459
Loeys-Dietz_syndrome_4	458
Charcot-Marie-Tooth_disease_axonal_type_2C	458
Bare_lymphocyte_syndrome_type_1	458
See_cases	457
Distal_hereditary_motor_neuronopathy_type_7B	457
Stargardt_disease_1	454
Growth_delay_due_to_insulin-like_growth_factor_I_resistance	454
Alagille_syndrome_1	451
Coenzyme_Q10_deficiency	450
Short_stature	450
Autosomal_recessive_DOPA_responsive_dystonia	449
Juvenile_myoclonic_epilepsy	449
Alport_syndrome_1	449
Ataxia-telangiectasia-like_disorder	448
Severe_combined_immunodeficiency_due_to_DCLRE1C_deficiency	447
Hereditary_hemorrhagic_telangiectasia	446
Donnai-Barrow_syndrome	445
Pendred_syndrome	443
Retinitis_pigmentosa_71	442
Inflammatory_bowel_disease_1	440
Short-rib_thoracic_dysplasia_10_with_or_without_polydactyly	440
Benign_familial_neonatal_seizures	440
Dystonia_12	439
Smith-Lemli-Opitz_syndrome	439
Occult_macular_dystrophy	439
Immunodeficiency_51	439
Molybdenum_cofactor_deficiency	437
Paroxysmal_nonkinesigenic_dyskinesia	435
Severe_neonatal-onset_encephalopathy_with_microcephaly	432
Carney_complex	431
Myofibrillar_myopathy_1	428
Hereditary_pancreatitis	428
Heterotaxy	428
Autoimmune_lymphoproliferative_syndrome	427
Short-rib_thoracic_dysplasia_3_with_or_without_polydactyly	424
Combined_cellular_and_humoral_immune_defects_with_granulomas	424
Multiple_congenital_anomalies-hypotonia-seizures_syndrome_1	420
Neoplasm_of_the_large_intestine	419
Nephronophthisis_15	419
Dilated_cardiomyopathy_1HH	418
Pseudoxanthoma_elasticum	418
Mitochondrial_complex_IV_deficiency	417
Pyridoxine-dependent_epilepsy	414
Catecholaminergic_polymorphic_ventricular_tachycardia_type_1	414
FG_syndrome_1	413
Holocarboxylase_synthetase_deficiency	412
Charcot-Marie-Tooth_Neuropathy_X	410
Majeed_syndrome	410
Psoriasis_susceptibility_2	409
Autism_spectrum_disorder	408
Pityriasis_rubra_pilaris	407
Muscular_dystrophy-dystroglycanopathy_(limb-girdle)	403
Glutaric_aciduria	402
GNE_myopathy	401
Cenani-Lenz_syndactyly_syndrome	401
Progressive_familial_heart_block_type_IB	400
Mitochondrial_trifunctional_protein_deficiency	399
Choreoacanthocytosis	399
Leber_congenital_amaurosis_6	397
Leukocyte_adhesion_deficiency_1	397
Mitochondrial_DNA_depletion_syndrome_13_(encephalomyopathic_type)	397
Giant_axonal_neuropathy_1	396
Hereditary_hemorrhagic_telangiectasia_type_1	396
Multiple_gastrointestinal_atresias	395
Lung_adenocarcinoma	395
Immunodeficiency_40	394
Spherocytosis	391
Age-related_macular_degeneration_1	391
Schimke_immuno-osseous_dysplasia	389
Netherton_syndrome	388
Squamous_cell_carcinoma_of_the_head_and_neck	387
Hereditary_hemochromatosis	386
Greig_cephalopolysyndactyly_syndrome	385
Meningioma	384
Histiocytic_medullary_reticulosis	383
Merosin_deficient_congenital_muscular_dystrophy	382
Long-chain_3-hydroxyacyl-CoA_dehydrogenase_deficiency	382
Immunodeficiency	382
Familial_hemiplegic_migraine	382
Pierson_syndrome	382
Glaucoma_3	382
Charcot-Marie-Tooth_disease_type_2P	381
Immunodeficiency_35	381
Neutropenia	380
Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency	380
Succinate-semialdehyde_dehydrogenase_deficiency	380
KBG_syndrome	379
Polydactyly	379
Fibrous_dysplasia_of_jaw	378
Myasthenia	376
Thrombocytopenia	375
Craniosynostosis_syndrome	371
Symmetrical_dyschromatosis_of_extremities	368
Renal_tubular_dysgenesis	368
Cataract	367
Ceroid_lipofuscinosis	366
Nephropathic_cystinosis	365
Aicardi-Goutieres_syndrome_7	365
Loeys-Dietz_syndrome	364
Cone-rod_dystrophy_13	364
Peroxisome_biogenesis_disorder_1A_(Zellweger)	364
Epidermolysis_bullosa_junctionalis_with_pyloric_atresia	364
Nonsyndromic_Hearing_Loss	362
Familial_hypokalemia-hypomagnesemia	362
Carney-Stratakis_syndrome	361
Early_infantile_epileptic_encephalopathy_34	361
Leber_congenital_amaurosis_2	361
Multiple_epiphyseal_dysplasia_type_4	361
Fraser_syndrome_2	361
Finnish_congenital_nephrotic_syndrome	360
Adenocarcinoma_of_stomach	360
Imerslund-Gräsbeck_syndrome_1	359
Multiple_congenital_exostosis	359
Neuromuscular_disease	359
beta_Thalassemia	358
Congenital_myopathy_with_fiber_type_disproportion	358
Diabetes_mellitus	358
Weill-Marchesani_syndrome_4	358
Leukodystrophy	358
Parkinson_disease_8	358
Creatine_transporter_deficiency	358
Cone-rod_dystrophy_6	354
B-cell_expansion_with_NFKB_and_T-cell_anergy	353
Permanent_neonatal_diabetes_mellitus	353
46	352
Angelman_syndrome	352
Tooth_agenesis	352
Diastrophic_dysplasia	351
Carnitine_palmitoyltransferase_1A_deficiency	351
Danon_disease	350
Mucolipidosis_type_IV	350
Hepatocellular_carcinoma	348
Immunodeficiency_11	347
Neuronal_ceroid_lipofuscinosis_7	346
Nephronophthisis_14	344
Congenital_microvillous_atrophy	344
Bifunctional_peroxisomal_enzyme_deficiency	344
Deficiency_of_UDPglucose-hexose-1-phosphate_uridylyltransferase	341
T-cell_immunodeficiency	340
Argininosuccinate_lyase_deficiency	340
Spherocytosis_type_1	339
Combined_malonic_and_methylmalonic_aciduria	339
Focal_cortical_dysplasia_type_II	338
Granulomatous_disease	338
Autosomal_dominant_polycystic_kidney_disease	337
Corneal_dystrophy	336
Asphyxiating_thoracic_dystrophy_5	336
Pallister-Hall_syndrome	335
Cholestasis	335
Hereditary_sensory_and_autonomic_neuropathy_type_IC	334
Rubinstein-Taybi_syndrome_1	334
Lynch_syndrome_II	333
Otospondylomegaepiphyseal_dysplasia	333
Paragangliomas_1	333
Congenital_muscular_hypertrophy-cerebral_syndrome	332
Neuronal_ceroid_lipofuscinosis_1	331
Leukoencephalopathy_with_vanishing_white_matter	328
Brody_myopathy	328
Squamous_cell_lung_carcinoma	328
Brittle_cornea_syndrome_1	327
Cholestanol_storage_disease	327
Retinitis_pigmentosa_73	327
Angelman_syndrome-like	327
Malignant_Colorectal_Neoplasm	327
Singleton-Merten_syndrome_1	327
Gnathodiaphyseal_dysplasia	326
Legius_syndrome	325
Kufor-Rakeb_syndrome	325
Macular_degeneration	325
Glycogen_storage_disease_of_heart	325
Herpes_simplex_encephalitis_1	324
Haddad_syndrome	323
Brugada_syndrome_1	323
Severe_X-linked_myotubular_myopathy	323
Sialuria	322
Combined_oxidative_phosphorylation_deficiency_27	322
Atelosteogenesis_type_II	321
Joubert_syndrome_21	321
Autosomal_dominant_pseudohypoaldosteronism_type_1	321
Methylmalonic_aciduria_due_to_methylmalonyl-CoA_mutase_deficiency	321
Congenital_dyserythropoietic_anemia	320
Lipodystrophy	319
Hermansky-Pudlak_syndrome	319
Ocular_cystinosis	319
Long_QT_syndrome_1	319
3-Methylglutaconic_aciduria_type_3	318
Isovaleryl-CoA_dehydrogenase_deficiency	317
Joubert_syndrome_17	317
Shprintzen-Goldberg_syndrome	317
Peroxisomal_acyl-CoA_oxidase_deficiency	316
Cowden_syndrome	316
Episodic_ataxia	315
Paragangliomas_3	314
Congenital_lactic_acidosis	313
Anauxetic_dysplasia	313
Cowden_syndrome_3	313
Myoclonic-atonic_epilepsy	313
Neuronopathy	312
Tyrosinemia_type_I	312
Thrombophilia	310
Common_variable_immunodeficiency_7	310
Hypotonia	310
Familial_hypertrophic_cardiomyopathy_4	310
Polymicrogyria	309
Agenesis_of_the_corpus_callosum_with_peripheral_neuropathy	308
Gamma-aminobutyric_acid_transaminase_deficiency	308
Lysinuric_protein_intolerance	307
Aniridia_1	307
Bartter_syndrome	306
Irido-corneo-trabecular_dysgenesis	306
Caused_by_mutation_in_the_TBC1_domain_family	304
Ectopia_lentis	303
Aortic_valve_disease_2	303
Familial_hypercholesterolemia_3	302
Senior-Loken_syndrome_8	302
Biotinidase_deficiency	302
Hereditary_spastic_paraplegia_15	302
Achromatopsia	301
Hypothyroidism	300
Bardet-Biedl_syndrome_1	300
Diamond-Blackfan_anemia	299
Neuroblastoma	298
Biotin-responsive_basal_ganglia_disease	297
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2D	297
Hereditary_spastic_paraplegia_7	297
Acromicric_dysplasia	297
Deficiency_of_acetyl-CoA_acetyltransferase	297
Familial_infantile_myasthenia	297
Sclerosteosis_2	297
Iodotyrosyl_coupling_defect	297
Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency	296
Sandhoff_disease	295
Hereditary_nonpolyposis_colorectal_cancer_type_4	295
Retinitis_pigmentosa_20	295
Andersen_Tawil_syndrome	294
Cutaneous_malignant_melanoma_5	294
Pyropoikilocytosis	294
Stiff_skin_syndrome	293
Osteopetrosis	292
Paget_disease_of_bone_2	292
Amelocerebrohypohidrotic_syndrome	291
Congenital_disorder_of_deglycosylation	290
Macular_dystrophy	290
Renal_cysts_and_diabetes_syndrome	289
Mitochondrial_complex_1_deficiency	289
Autosomal_recessive_retinitis_pigmentosa	289
Stüve-Wiedemann_syndrome	289
Osteogenesis_imperfecta_type_7	289
Combined_immunodeficiency_due_to_STIM1_deficiency	287
Cockayne_syndrome_B	287
Ceroid_lipofuscinosis_neuronal_2	287
3-methylcrotonyl-CoA_carboxylase_1_deficiency	287
Severe_combined_immunodeficiency_due_to_ADA_deficiency	287
Hypophosphatemic_rickets	286
Hereditary_factor_IX_deficiency_disease	286
Oculotrichoanal_syndrome	286
Supravalvar_aortic_stenosis	286
Herpes_simplex_encephalitis	286
Malignant_neoplasm_of_body_of_uterus	286
GM1_gangliosidosis	284
Endometrial_carcinoma	284
Immunodeficiency_14	284
Early_infantile_epileptic_encephalopathy_5	284
Palmoplantar_keratoderma	282
Aicardi-Goutieres_syndrome_6	281
Progressive_myoclonus_epilepsy_with_ataxia	281
Citrullinemia_type_I	281
Dilated_cardiomyopathy_1J	281
Neurodevelopmental_disorder_with_or_without_hyperkinetic_movements_and_seizures	280
3-methylcrotonyl_CoA_carboxylase_2_deficiency	280
Autosomal_recessive_osteopetrosis_1	279
Congenital_myasthenic_syndrome_12	279
Malignant_melanoma_of_skin	279
Loeys-Dietz_syndrome_2	278
Stormorken_syndrome	278
Acrocallosal_syndrome	278
Benign_familial_neonatal_seizures_2	278
Left_ventricular_noncompaction_6	277
Glycogen_storage_disease_due_to_glucose-6-phosphatase_deficiency_type_IA	277
Elliptocytosis_2	275
Lymphoproliferative_syndrome_1	275
Episodic_ataxia_type_1	275
Congenital_Muscular_Dystrophy	275
Tangier_disease	275
Transitional_cell_carcinoma_of_the_bladder	275
Hemophagocytic_lymphohistiocytosis	275
Vitamin_B12-responsive_methylmalonic_acidemia_type_cblB	274
Familial_hypertrophic_cardiomyopathy_2	274
Amyotrophic_lateral_sclerosis_and/or_frontotemporal_dementia_1	273
Arterial_tortuosity_syndrome	273
Nemaline_myopathy_6	272
Neutral_lipid_storage_myopathy	272
Hermansky-Pudlak_syndrome_2	272
Homocystinuria-Megaloblastic_anemia_due_to_defect_in_cobalamin_metabolism	272
Vitamin_B12-responsive_methylmalonic_acidemia_type_cblA	272
Dilated_cardiomyopathy_3B	271
Cerebral_autosomal_dominant_arteriopathy_with_subcortical_infarcts_and_leukoencephalopathy_type_1	270
Familial_restrictive_cardiomyopathy_3	270
Congenital_muscular_dystrophy_due_to_partial_LAMA2_deficiency	270
Costello_syndrome	268
Pontocerebellar_hypoplasia	268
Lymphoproliferative_syndrome_2	267
Hearing_loss	267
Frontotemporal_dementia	266
Noonan_syndrome-like_disorder_with_or_without_juvenile_myelomonocytic_leukemia	265
Spastic_paraplegia_78	265
Hypoalphalipoproteinemia	265
Aicardi_Goutieres_syndrome_5	265
Citrullinemia	265
Spherocytosis_type_3	265
Autosomal_recessive_congenital_ichthyosis_1	265
Leprechaunism_syndrome	264
Congenital_amegakaryocytic_thrombocytopenia	263
Chromosome_2q32-q33_deletion_syndrome	262
Familial_hemophagocytic_lymphohistiocytosis_2	262
Factor_V_deficiency	262
Lig4_syndrome	261
Ornithine_aminotransferase_deficiency	261
Multiple_exostoses_type_2	261
Insulin-resistant_diabetes_mellitus_AND_acanthosis_nigricans	260
FLNB-Related_Spectrum_Disorders	259
Hypogonadotropic_hypogonadism_2_with_or_without_anosmia	259
Knobloch_syndrome_1	258
Cryopyrin_associated_periodic_syndrome	258
Ornithine_carbamoyltransferase_deficiency	257
Methylmalonic_acidemia_with_homocystinuria	257
Long_QT_syndrome_3	257
Glycogen_storage_disease_0	257
Gray_platelet_syndrome	256
Autoimmune_lymphoproliferative_syndrome_type_1	255
Optic_atrophy_3	255
Holoprosencephaly_sequence	254
Pyogenic_arthritis-pyoderma_gangrenosum-acne_syndrome	254
Coffin-Siris_syndrome_1	254
Spondyloepiphyseal_dysplasia_with_congenital_joint_dislocations	253
Short_QT_syndrome_3	253
Cockayne_syndrome	253
Cerebrooculofacioskeletal_syndrome_1	252
Hypokalemic_periodic_paralysis	252
Cerebral_creatine_deficiency_syndrome	252
Brugada_syndrome_4	252
Distal_hereditary_motor_neuronopathy_2D	252
Pineal_hyperplasia_AND_diabetes_mellitus_syndrome	252
Desbuquois_dysplasia_1	251
Pulmonary_arterial_hypertension	251
Hypomyelinating_leukodystrophy_7	251
Hyper-IgE_recurrent_infection_syndrome_1	250
Cowden_syndrome_6	250
Adenylosuccinate_lyase_deficiency	249
heterogeneous_nuclear_ribonucleoprotein_G	249
Ataxia-telangiectasia-like_disorder_1	249
Immunodeficiency_30	249
Robinow_syndrome	249
Alport_syndrome_3	248
Paroxysmal_extreme_pain_disorder	247
Alpha-1-antitrypsin_deficiency	247
Odonto-onycho-dermal_dysplasia	247
Xanthinuria_type_II	247
Hypogonadotropic_hypogonadism_5_with_or_without_anosmia	247
Orofaciodigital_syndrome_I	247
Anophthalmia-microphthalmia_syndrome	246
Pontoneocerebellar_hypoplasia	245
Thrombophilia_due_to_thrombin_defect	244
Wagner_syndrome	244
Autosomal_recessive_pseudohypoaldosteronism_type_1	243
MYH9-related_disorder	243
Bardet-Biedl_syndrome_10	243
Osteogenesis_imperfecta_type_8	243
Progressive_familial_heart_block	243
Holoprosencephaly_11	243
Hyperimmunoglobulin_D_with_periodic_fever	243
Noonan_syndrome_9	242
